
--------------
year	amount remaining
  1	975.55
  2	951.70
  3	928.42
  4	905.72
  5	883.58
  6	861.97
  7	840.90
  8	820.34
  9	800.28
  10	780.71
  11	761.62
  12	743.00
  13	724.83
  14	707.11
  15	689.82
  16	672.95
  17	656.50
  18	640.44
  19	624.78
  20	609.51
  21	594.60
  22	580.06
  23	565.88
  24	552.04
  25	538.55
  26	525.38
  27	512.53
  28	500.00
  29	487.77
  30	475.85
  31	464.21
  32	452.86
  33	441.79
  34	430.99
  35	420.45
  36	410.17
  37	400.14
  38	390.35
  39	380.81
  40	371.50
